_id,image,brand,name,price,powerSupplyStandard,maxMotherboardSize,type,sidePanelWindow
608dd450905ec60bdc069924,/images/case/case.jpg,Fractal Design,Core 1000 USB 3.0,268.81,ATX,MircoATX,MicroATX Mid Tower,None
608dd450905ec60bdc069925,/images/case/case.jpg,Fractal Design,Define Mini C,363.55,ATX,MircoATX,MicroATX Mid Tower,None
608dd450905ec60bdc069926,/images/case/case.jpg,Fractal Design,Define Mini C TG,440.85,ATX,MircoATX,MicroATX Mid Tower,Tempered Glass
608dd450905ec60bdc069927,/images/case/case.jpg,Fractal Design,Node 804,472.02,ATX,MircoATX,MicroATX Mid Tower,Acrylic
608dd450905ec60bdc069928,/images/case/case.jpg,Lian Li,LANCOOL 205M,254.30,ATX,MircoATX,MicroATX Mid Tower,Tempered Glass
608dd450905ec60bdc069929,/images/case/case.jpg,Thermaltake,V150,311.45,ATX,MircoATX,MicroATX Mid Tower,Tempered Glass
608dd450905ec60bdc069930,/images/case/case.jpg,Thermaltake,Versa H15,276.32,ATX,MircoATX,MicroATX Mid Tower,None
608dd450905ec60bdc069931,/images/case/case.jpg,Thermaltake,Level 20 VT,500.45,ATX,MircoATX,MicroATX Desktop,Tempered Glass
608dd450905ec60bdc069932,/images/case/case.jpg,Lian Li,PC-Q15,537.63,SFX,Mini ITX,HTPC,None
608dd450905ec60bdc069933,/images/case/case.jpg,be quiet!,Dark Base 700,741.60,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069934,/images/case/case.jpg,be quiet!,Pure Base 500,304.44,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069935,/images/case/case.jpg,be quiet!,Pure Base 500DX,471.70,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069936,/images/case/case.jpg,be quiet!,Pure Base 600,370.32,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069937,/images/case/case.jpg,be quiet!,Silent Base 600,449.95,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc069938,/images/case/case.jpg,be quiet!,Silent Base 601,541.45,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069939,/images/case/case.jpg,be quiet!,Silent Base 801,677.95,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069940,/images/case/case.jpg,be quiet!,Silent Base 802,675.68,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069941,/images/case/case.jpg,Cooler Master,CM 590 III,295.52,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069942,/images/case/case.jpg,Cooler Master,Force 500,246.02,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc069943,/images/case/case.jpg,Cooler Master,K350,222.22,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069944,/images/case/case.jpg,Cooler Master,MasterBox 5,363.86,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069945,/images/case/case.jpg,Cooler Master,MasterBox 5T,454.50,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069946,/images/case/case.jpg,Cooler Master,MasterBox E500 (w/o ODD),346.62,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069947,/images/case/case.jpg,Cooler Master,MasterBox E500L,201.66,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc069948,/images/case/case.jpg,Cooler Master,MASTERBOX E501L,224.45,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc069949,/images/case/case.jpg,Cooler Master,MasterBox K500,374.33,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069950,/images/case/case.jpg,Cooler Master,MasterBox K500 ARGB,411.27,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069951,/images/case/case.jpg,Cooler Master,MasterBox Lite 5,389.30,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069952,/images/case/case.jpg,Cooler Master,MasterBox LITE 5 ARGB,432.02,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069953,/images/case/case.jpg,Cooler Master,MasterBox Lite 5 RGB,329.47,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069954,/images/case/case.jpg,Cooler Master,MasterBox MB500,360.50,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069955,/images/case/case.jpg,Cooler Master,MasterBox MB500 ARGB,429.98,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069956,/images/case/case.jpg,Cooler Master,MasterBox MB510L,258.76,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069957,/images/case/case.jpg,Cooler Master,MasterBox MB511,281.74,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069958,/images/case/case.jpg,Cooler Master,MasterBox MB511 ARGB,335.34,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069959,/images/case/case.jpg,Cooler Master,MasterBox MB511 RGB,335.34,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069960,/images/case/case.jpg,Cooler Master,MasterBox MB520 ARGB,340.93,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069961,/images/case/case.jpg,Cooler Master,MasterBox MB520 RGB,340.93,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069962,/images/case/case.jpg,Cooler Master,MasterBox MB530P,527.48,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069963,/images/case/case.jpg,Cooler Master,MasterBox NR600 (w/o ODD),305.21,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069964,/images/case/case.jpg,Cooler Master,MasterBox NR600 (w/ODD),354.81,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069965,/images/case/case.jpg,Cooler Master,MasterBox NR600P,661.75,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc069966,/images/case/case.jpg,Cooler Master,MasterBox Q500L,290.06,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069967,/images/case/case.jpg,Cooler Master,MasterBox TD500,494.08,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069968,/images/case/case.jpg,Cooler Master,MasterBox TD500 ARGB,451.41,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069969,/images/case/case.jpg,Cooler Master,MasterBox TD500 Mesh w/ Controller,451.45,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069970,/images/case/case.jpg,Cooler Master,MasterBox TD500 Mesh White w/ Controller,484.44,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069971,/images/case/case.jpg,Cooler Master,MasterCase H500,821.59,ATX,ATX,ATX Mid Tower,Tinted Tempered Glass
608dd450905ec60bdc069972,/images/case/case.jpg,Cooler Master,MasterCase H500 ARGB,543.22,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069973,/images/case/case.jpg,Cooler Master,MasterCase H500M,959.23,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069974,/images/case/case.jpg,Cooler Master,MasterCase H500P Mesh,833.33,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069975,/images/case/case.jpg,Cooler Master,MasterCase H500P Mesh ARGB,693.97,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069976,/images/case/case.jpg,Cooler Master,MasterCase Maker 5,1050.60,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069977,/images/case/case.jpg,Cooler Master,MasterCase MC500,1044.13,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069978,/images/case/case.jpg,Cooler Master,MasterCase SL600M,1022.48,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069979,/images/case/case.jpg,Cooler Master,MasterCase SL600M Black Edition,820.77,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069980,/images/case/case.jpg,Cooler Master,MB600L,279.23,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069981,/images/case/case.jpg,Cooler Master,MB600L ODD,330.92,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069982,/images/case/case.jpg,Cooler Master,N300,240.42,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc069983,/images/case/case.jpg,Cooler Master,N400,1178.40,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc069984,/images/case/case.jpg,Cooler Master,Silencio 452,385.48,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc069985,/images/case/case.jpg,Cooler Master,Silencio S600,413.00,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069986,/images/case/case.jpg,Corsair,100R,227.18,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069987,/images/case/case.jpg,Corsair,110Q,285.92,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc069988,/images/case/case.jpg,Corsair,110R,272.55,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069989,/images/case/case.jpg,Corsair,200R,286.42,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc069990,/images/case/case.jpg,Corsair,270R,227.45,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc069991,/images/case/case.jpg,Corsair,275Q,318.05,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc069992,/images/case/case.jpg,Corsair,275R,370.32,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069993,/images/case/case.jpg,Corsair,275R Airflow,354.45,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069994,/images/case/case.jpg,Corsair,4000D,340.80,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069995,/images/case/case.jpg,Corsair,4000D Airflow,422.70,ATX,ATX,ATX Mid Tower,Tinted Tempered Glass
608dd450905ec60bdc069996,/images/case/case.jpg,Corsair,400C,914.55,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069997,/images/case/case.jpg,Corsair,450D,417.24,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc069998,/images/case/case.jpg,Corsair,5000D,633.91,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc069999,/images/case/case.jpg,Corsair,5000D AIRFLOW,697.06,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070000,/images/case/case.jpg,Corsair,500D Premium,752.52,ATX,ATX,ATX Mid Tower,Tinted Tempered Glass
608dd450905ec60bdc070001,/images/case/case.jpg,Corsair,550D,835.97,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc070002,/images/case/case.jpg,Corsair,678C,667.94,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070003,/images/case/case.jpg,Corsair,Air 540,568.20,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc070004,/images/case/case.jpg,Corsair,Carbide 175R RGB,295.30,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070005,/images/case/case.jpg,Corsair,Crystal 460X RGB,693.83,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070006,/images/case/case.jpg,Corsair,Crystal 570X RGB,885.48,ATX,ATX,ATX Mid Tower,Acrylic
