_id,image,brand,name,price,capacityGb,tier,type,formFactor,connectionInterface
608dd615905ec60bdc06a474,/images/storage/no-image.png,Samsung,Spinpoint F3,564.20,1000,8,7200RPM,"3.5""",SATA 3 Gb/s
608dd615905ec60bdc06a475,/images/storage/no-image.png,Samsung,Spinpoint F3 EG,586.31,1000,8,5400RPM,"3.5""",SATA 3 Gb/s
608dd615905ec60bdc06a476,/images/storage/51WqisGtzTL.jpg,Samsung,Spinpoint F3R,674.08,1000,8,7200RPM,"3.5""",SATA 3 Gb/s
608dd615905ec60bdc06a477,/images/storage/no-image.png,Samsung,Spinpoint M8,264.45,1000,8,5400RPM,"2.5""",SATA 3 Gb/s
608dd615905ec60bdc06a478,/images/storage/41B53OcxAIL.jpg,SanDisk,Extreme Pro,4545.45,960,5,SSD,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a479,/images/storage/41B53OcxAIL.jpg,SanDisk,EXTREME PRO,341.39,500,2,NVMe,M.2-2280,M.2 (M)
608dd615905ec60bdc06a480,/images/storage/41B53OcxAIL.jpg,SanDisk,EXTREME PRO,545.95,1000,2,NVMe,M.2-2280,M.2 (M)
608dd615905ec60bdc06a481,/images/storage/41fXbhS5GhL.jpg,SanDisk,SSD PLUS,231.73,480,7,SSD,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a482,/images/storage/41fXbhS5GhL.jpg,SanDisk,SSD PLUS,400.35,1000,7,SSD,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a483,/images/storage/41fXbhS5GhL.jpg,SanDisk,SSD Plus,727.95,2000,7,SSD,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a484,/images/storage/67d3ef08fc9d9c82619cc701ccc9c459.256p.jpg,SanDisk,Ultra 3D,263.45,500,5,SSD,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a485,/images/storage/67d3ef08fc9d9c82619cc701ccc9c459.256p.jpg,SanDisk,Ultra 3D,447.77,1000,5,SSD,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a486,/images/storage/67d3ef08fc9d9c82619cc701ccc9c459.256p.jpg,SanDisk,Ultra 3D,909.55,2000,5,SSD,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a487,/images/storage/67d3ef08fc9d9c82619cc701ccc9c459.256p.jpg,SanDisk,Ultra 3D,1706.20,4000,5,SSD,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a488,/images/storage/41CDjYR5QxL.jpg,SanDisk,Ultra II,818.95,480,6,SSD,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a489,/images/storage/41CDjYR5QxL.jpg,SanDisk,Ultra II,873.33,960,6,SSD,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a490,/images/storage/41OGhq85B2L.jpg,Seagate,BarraCuda,168.35,1000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a491,/images/storage/41OGhq85B2L.jpg,Seagate,Barracuda,282.33,2000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a492,/images/storage/41OGhq85B2L.jpg,Seagate,Barracuda,643.10,1500,8,7200RPM,"3.5""",SATA 3 Gb/s
608dd615905ec60bdc06a493,/images/storage/41OGhq85B2L.jpg,Seagate,Barracuda,728.00,3000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a494,/images/storage/41OGhq85B2L.jpg,Seagate,BarraCuda,395.35,4000,8,5400RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a495,/images/storage/41OGhq85B2L.jpg,Seagate,Barracuda,568.30,6000,8,5400RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a496,/images/storage/41OGhq85B2L.jpg,Seagate,BarraCuda,618.12,5000,8,5400RPM,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a497,/images/storage/807f972fa748821c508dcc9f1086c654.256p.jpg,Seagate,BarraCuda 510,319.64,500,2,NVMe,M.2-2280,M.2 (M)
608dd615905ec60bdc06a498,/images/storage/807f972fa748821c508dcc9f1086c654.256p.jpg,Seagate,BarraCuda 510,573.25,1000,2,NVMe,M.2-2280,M.2 (M)
608dd615905ec60bdc06a499,/images/storage/b84463f4265f4f07e8f1f9ed5199ecb4.256p.jpg,Seagate,Barracuda Compute,368.05,3000,8,5400RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a500,/images/storage/b84463f4265f4f07e8f1f9ed5199ecb4.256p.jpg,Seagate,Barracuda Compute,428.84,4000,8,5400RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a501,/images/storage/b84463f4265f4f07e8f1f9ed5199ecb4.256p.jpg,Seagate,Barracuda Compute,672.95,6000,8,5400RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a502,/images/storage/b84463f4265f4f07e8f1f9ed5199ecb4.256p.jpg,Seagate,BarraCuda Compute,720.90,8000,8,5400RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a503,/images/storage/51C474EK%2BkL.jpg,Seagate,Barracuda ES,855.17,1000,8,7200RPM,"3.5""",SATA 3 Gb/s
608dd615905ec60bdc06a504,/images/storage/51OzJBXf8RL.jpg,Seagate,BarraCuda Pro,1107.65,10000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a505,/images/storage/51OzJBXf8RL.jpg,Seagate,BarraCuda Pro,1137.50,8000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a506,/images/storage/51OzJBXf8RL.jpg,Seagate,BarraCuda Pro,2133.27,12000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a507,/images/storage/51OzJBXf8RL.jpg,Seagate,BarraCuda Pro,2206.75,14000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a508,/images/storage/caf78ca0627e8fb6ef01a079bf990197.256p.jpg,Seagate,BarraCuda Pro Compute,254.48,1000,8,7200RPM,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a509,/images/storage/caf78ca0627e8fb6ef01a079bf990197.256p.jpg,Seagate,BarraCuda Pro Compute,1960.19,12000,8,7200RPM,"3.5""",SATA 6 Gb/s
