_id,image,brand,name,price,speed,modulesCount,moduleCapacityGb,firstWordLatencyNs,casLatency
608dd5ff905ec60bdc06a285,/images/ram/41IH0CBaIeL.jpg,Crucial,Ballistix Elite 32 GB,2314.18,4000,4,8,9,18
608dd5ff905ec60bdc06a286,/images/ram/423fc64829bbe16e99ad0b1263ebb669.256p.jpg,Corsair,Dominator Platinum RGB 32 GB,2297.70,4000,2,16,9.5,19
608dd5ff905ec60bdc06a287,/images/ram/d305b58157decedae103c7e844932020.256p.jpg,G.Skill,Trident Z 32 GB,2283.96,3466,4,8,9.233,16
608dd5ff905ec60bdc06a288,/images/ram/51cBkTWa69L.jpg,Patriot,Viper Elite 8 GB,232.00,2666,1,8,12.003,16
608dd5ff905ec60bdc06a289,/images/ram/54df1eae73ec61f2e635e788d57fbbba.256p.jpg,Team,T-Force Delta RGB 8 GB,230.32,2666,1,8,11.253,15
608dd5ff905ec60bdc06a290,/images/ram/ac4561a2d41601004a852798526bb606.256p.jpg,Patriot,Signature Premium 8 GB,227.59,2666,1,8,14.254,19
608dd5ff905ec60bdc06a291,/images/ram/e82453bca6b0fc9fee9693d4802eb34f.256p.jpg,G.Skill,Trident Z RGB 32 GB,2271.82,3466,2,16,9.233,16
608dd5ff905ec60bdc06a292,/images/ram/ddb54c1526832ee1bcb3bcfef77a193c.256p.jpg,G.Skill,Trident Z Royal 64 GB,2257.94,3000,4,16,10.667,16
608dd5ff905ec60bdc06a293,/images/ram/dffb00e5214041b0ffbc9150572794ee.256p.jpg,Corsair,Dominator Platinum 64 GB,2226.95,3000,4,16,10,15
608dd5ff905ec60bdc06a294,/images/ram/41owhuq7RFL.jpg,G.Skill,Ripjaws 4 Series 16 GB,2226.59,2800,2,8,11.429,16
608dd5ff905ec60bdc06a295,/images/ram/ddb54c1526832ee1bcb3bcfef77a193c.256p.jpg,G.Skill,Trident Z Royal 64 GB,2206.70,3600,4,16,10,18
608dd5ff905ec60bdc06a296,/images/ram/51kbGoC9fWL.jpg,G.Skill,Aegis 8 GB,222.86,3000,1,8,10.667,16
608dd5ff905ec60bdc06a297,/images/ram/a6e59e45a1d663e7daa43f2eb72c9b2b.256p.jpg,Crucial,CT8G4DFS8266 8 GB,222.68,2666,1,8,14.254,19
608dd5ff905ec60bdc06a298,/images/ram/31s8aUIgftL.jpg,Kingston,HyperX Fury RGB 8 GB,221.99,3000,1,8,10,15
608dd5ff905ec60bdc06a299,/images/ram/31s8aUIgftL.jpg,Kingston,HyperX Fury RGB 8 GB,220.63,2666,1,8,12.003,16
608dd5ff905ec60bdc06a300,/images/ram/f02f872bfbeae09eefa0a32c38abd360.256p.jpg,Patriot,Viper Steel 8 GB,220.31,3000,1,8,10.667,16
608dd5ff905ec60bdc06a301,/images/ram/31s8aUIgftL.jpg,Kingston,HyperX Fury RGB 8 GB,219.72,3200,1,8,10,16
608dd5ff905ec60bdc06a302,/images/ram/ddb54c1526832ee1bcb3bcfef77a193c.256p.jpg,G.Skill,Trident Z Royal 64 GB,2174.81,3200,2,32,8.75,14
608dd5ff905ec60bdc06a303,/images/ram/5c7383f97da0c920be4aa78b5598274a.256p.jpg,G.Skill,Trident Z 64 GB,2169.67,3600,4,16,9.444,17
608dd5ff905ec60bdc06a304,/images/ram/e82453bca6b0fc9fee9693d4802eb34f.256p.jpg,G.Skill,Trident Z RGB 32 GB,2156.56,3866,2,16,9.312,18
608dd5ff905ec60bdc06a305,/images/ram/50fa410eb5e67e85bf6a879394e485b0.256p.jpg,Corsair,Dominator Platinum RGB 16 GB,2152.15,4266,2,8,8.908,19
608dd5ff905ec60bdc06a306,/images/ram/d305b58157decedae103c7e844932020.256p.jpg,G.Skill,Trident Z 32 GB,2151.24,3333,4,8,9.601,16
608dd5ff905ec60bdc06a307,/images/ram/e38a9943c39a93029b36f11c87c83007.256p.jpg,Kingston,HyperX Predator 8 GB,217.44,2666,1,8,9.752,13
608dd5ff905ec60bdc06a308,/images/ram/a605ea6152a035fa35f6f95f34ffabdc.256p.jpg,G.Skill,Value 8 GB,214.71,2666,1,8,14.254,19
608dd5ff905ec60bdc06a309,/images/ram/62fa9cde664b42fd944e9cab97fad6ea.256p.jpg,Crucial,CT4K16G4DFD8266 64 GB,2120.25,2666,4,16,14.254,19
608dd5ff905ec60bdc06a310,/images/ram/41sDMuAiWDL.jpg,Crucial,Ballistix RGB 64 GB,2120.25,3600,2,32,8.889,16
608dd5ff905ec60bdc06a311,/images/ram/ddb54c1526832ee1bcb3bcfef77a193c.256p.jpg,G.Skill,Trident Z Royal 64 GB,2114.61,3200,4,16,10,16
608dd5ff905ec60bdc06a312,/images/ram/6b52ad46fbcab3b1667cf61e60856e1d.256p.jpg,G.Skill,Trident Z RGB 64 GB,2105.24,4000,2,32,9,18
608dd5ff905ec60bdc06a313,/images/ram/addea77024fe70f7fb269d8e61482bcf.256p.jpg,Corsair,ValueSelect 8 GB,212.89,2666,1,8,13.503,18
608dd5ff905ec60bdc06a314,/images/ram/09fe6395c95097722a468e89af442aba.256p.jpg,Kingston,KCP426NS8/8 8 GB,211.17,2666,1,8,14.254,19
608dd5ff905ec60bdc06a315,/images/ram/7083d18ca85c77a8b08846e3c56dd015.256p.jpg,Corsair,Vengeance LED 32 GB,2091.91,3000,2,16,10.667,16
608dd5ff905ec60bdc06a316,/images/ram/e59ab0ce88aeac608874108bb44ff2da.256p.jpg,Corsair,Vengeance RGB 32 GB,2085.22,3000,2,16,10,15
608dd5ff905ec60bdc06a317,/images/ram/41HNNnFmkHL.jpg,Kingston,HyperX 16 GB,2074.80,4800,2,8,7.917,19
608dd5ff905ec60bdc06a318,/images/ram/c524fb85f4cdf3f958e8b5d14614e35c.256p.jpg,Corsair,Dominator Platinum RGB 64 GB,2063.29,3200,4,16,10,16
608dd5ff905ec60bdc06a319,/images/ram/46cebfcd72b0ddaea3f481aca0e935b7.256p.jpg,Corsair,Vengeance RGB Pro 64 GB,2060.70,3000,4,16,10,15
608dd5ff905ec60bdc06a320,/images/ram/41YyFBUp8cL.jpg,Klevv,Cras 32 GB,2051.69,2800,4,8,11.429,16
608dd5ff905ec60bdc06a321,/images/ram/bba8fff51a7845cda8aa64360a9254c8.256p.jpg,Corsair,Vengeance LPX 32 GB,2044.00,3466,4,8,9.233,16
608dd5ff905ec60bdc06a322,/images/ram/41YyFBUp8cL.jpg,Klevv,Cras 32 GB,2038.67,2666,4,8,11.253,15
