_id,image,brand,name,price,tier,chipset,socket,formFactor,memorySlots,memoryMaxGb
608dd537905ec60bdc069249,/images/motherboard/510LQKVvODL.jpg,Gigabyte,B450 AORUS PRO WIFI (rev. 1.0),932.13,7,B450,AM4,ATX,4,64
608dd537905ec60bdc069250,/images/motherboard/176028811e50cad67b57ed0e604229c9.256p.jpg,Gigabyte,B450M DS3H,292.05,7,B450,AM4,Micro ATX,4,64
608dd537905ec60bdc069251,/images/motherboard/176028811e50cad67b57ed0e604229c9.256p.jpg,Gigabyte,B450M DS3H V2,310.46,7,B450,AM4,Micro ATX,4,128
608dd537905ec60bdc069252,/images/motherboard/ef675852c52dc65806e9e2edf192436c.256p.jpg,MSI,B450M PRO-M2,383.99,7.3,B450,AM4,Micro ATX,2,32
608dd537905ec60bdc069253,/images/motherboard/ef675852c52dc65806e9e2edf192436c.256p.jpg,MSI,B450M PRO-M2 MAX,306.09,7.3,B450,AM4,Micro ATX,2,32
608dd537905ec60bdc069254,/images/motherboard/ea1aa3c419cdea887fec5eb103d601a2.256p.jpg,ASRock,B450M-HDV,418.73,8,B450,AM4,Micro ATX,2,32
608dd537905ec60bdc069255,/images/motherboard/2b2897ac0de148a2935c3277573131b3.256p.jpg,ASRock,B450M-HDV R4.0,251.51,8,B450,AM4,Micro ATX,2,32
608dd537905ec60bdc069256,/images/motherboard/e65206672e3e1d7c4187555f9f06860c.256p.jpg,Asus,PRIME B450M-A,350.91,8,B450,AM4,Micro ATX,4,64
608dd537905ec60bdc069257,/images/motherboard/0f761cfa8bc9fe6e702e05af80a9a8b2.256p.jpg,Asus,PRIME B450M-K,346.01,8,B450,AM4,Micro ATX,2,32
608dd537905ec60bdc069258,/images/motherboard/20019a23d24541e596a3d8f9400b4350.256p.jpg,Gigabyte,B450M H,256.5,8,B450,AM4,Micro ATX,2,32
608dd537905ec60bdc069259,/images/motherboard/3d0183f7146432b70384e9235129adee.256p.jpg,ASRock,B365M Phantom Gaming 4,421.61,5,B365,LGA1151,Micro ATX,4,128
608dd537905ec60bdc069260,/images/motherboard/3d0183f7146432b70384e9235129adee.256p.jpg,ASRock,B365M Pro4,373.46,5,B365,LGA1151,Micro ATX,4,64
608dd537905ec60bdc069261,/images/motherboard/b6196d5b8b72eb6bfb4d42ccd24d8b25.256p.jpg,ASRock,B365M-HDV,275.18,5,B365,LGA1151,Micro ATX,2,32
608dd537905ec60bdc069262,/images/motherboard/518IdPFU2GL.jpg,Asus,ROG MAXIMUS XI CODE,3430.08,1,Z390,LGA1151,ATX,4,128
608dd537905ec60bdc069263,/images/motherboard/5bc58051b0a87e7008291a8e56a45f5d.256p.jpg,Asus,ROG MAXIMUS XI GENE,1569.11,1,Z390,LGA1151,Micro ATX,2,64
608dd537905ec60bdc069264,/images/motherboard/4837fe3b0fe844e85052ae32c6d034fb.256p.jpg,Asus,TUF Z390-PLUS GAMING (WI-FI),836.51,2,Z390,LGA1151,ATX,4,128
608dd537905ec60bdc069265,/images/motherboard/6b36f42a6e68062814367c42e68779ed.256p.jpg,Asus,TUF Z390M-PRO GAMING (WI-FI),1615.5,2,Z390,LGA1151,Micro ATX,4,128
608dd537905ec60bdc069266,/images/motherboard/245d0460e2df6619897a8144856b201e.256p.jpg,Asus,WS Z390 PRO,1782.09,3,Z390,LGA1151,ATX,4,128
608dd537905ec60bdc069267,/images/motherboard/2a39a11ee414d3a73b9a830970a0c331.256p.jpg,Gigabyte,Z390 AORUS PRO,872.78,2,Z390,LGA1151,ATX,4,128
608dd537905ec60bdc069268,/images/motherboard/17077892b63c485210cac4f2924128c3.256p.jpg,Gigabyte,Z390 D,463.59,4,Z390,LGA1151,ATX,4,128
608dd537905ec60bdc069269,/images/motherboard/bcad2b23ca009b941a18993f676a2244.256p.jpg,Gigabyte,Z390 GAMING SLI,991.08,2,Z390,LGA1151,ATX,4,128
608dd537905ec60bdc069270,/images/motherboard/82bfdb7958549efbe0b912c0e07be8a7.256p.jpg,Gigabyte,Z390 GAMING X,826.52,3,Z390,LGA1151,ATX,4,128
608dd537905ec60bdc069271,/images/motherboard/22573d2c099a90eb53acfd285b0fbed1.256p.jpg,Gigabyte,Z390 UD,504.09,4,Z390,LGA1151,ATX,4,128
608dd537905ec60bdc069272,/images/motherboard/034f9f9389157bc9a92c84f5ff532d80.256p.jpg,Gigabyte,Z390 M GAMING,779.45,2,Z390,LGA1151,Micro ATX,4,128
608dd537905ec60bdc069273,/images/motherboard/7ae7ab75a2ca388f3987cd86267e1dae.256p.jpg,MSI,B365M PRO-VDH,349.88,5,B365,LGA1151,Micro ATX,4,64
608dd537905ec60bdc069274,/images/motherboard/d99f5c787c137193d68e3c6786f278c6.256p.jpg,MSI,B365M-PRO-VH,337.5,5,B365,LGA1151,Micro ATX,2,32
608dd537905ec60bdc069275,/images/motherboard/cacd3c30e0be8ffc5866d534ca23e9dd.256p.jpg,MSI,MAG B365M MORTAR,365.85,4,B365,LGA1151,Micro ATX,4,64
608dd537905ec60bdc069276,/images/motherboard/edcc1e5a839a1e5dcbd02b39fbc6a193.256p.jpg,ASRock,B460M Pro4,424.58,7,B460,LGA1200,Micro ATX,4,128
608dd537905ec60bdc069277,/images/motherboard/51gkeP754NL.jpg,ASRock,B460M Steel Legend,516.51,7,B460,LGA1200,Micro ATX,4,128
608dd537905ec60bdc069278,/images/motherboard/51ZmqirNGmL.jpg,ASRock,B460M-HDV,372.83,7,B460,LGA1200,Micro ATX,2,64
608dd537905ec60bdc069279,/images/motherboard/d133ebca1d420765f0246e6ea6f96b50.256p.jpg,ASRock,B560M PRO4,548.51,7,B560,LGA1200,Micro ATX,4,128
608dd537905ec60bdc069280,/images/motherboard/f3fdad4280ba96b11df88c92a4696ab5.256p.jpg,ASRock,B560M-HDV,422.96,7,B560,LGA1200,Micro ATX,2,64
608dd537905ec60bdc069281,/images/motherboard/8b7a94902331cf33f34efb07bdf41e62.256p.jpg,ASRock,H470M Pro4,621.72,7,H470,LGA1200,Micro ATX,4,128
608dd537905ec60bdc069282,/images/motherboard/bf77e10db3a61408cb32784d2522b076.256p.jpg,ASRock,H570M Pro4,544.01,7,H570,LGA1200,Micro ATX,4,128
608dd537905ec60bdc069283,/images/motherboard/aa9d897000e8766dd54718cffc099b61.256p.jpg,Gigabyte,Z490M GAMING X,756.27,7,Z490,LGA1200,Micro ATX,4,128
608dd537905ec60bdc069284,/images/motherboard/e3dc5dea7509a2dde2c7864cb25e68f0.256p.jpg,MSI,MAG Z590 TORPEDO,1061.73,5,Z590,LGA1200,ATX,4,128
608dd537905ec60bdc069285,/images/motherboard/a0b8f9027025b14f038c9b1e6f3f6b20.256p.jpg,MSI,MEG Z590 ACE,2020.5,1,Z590,LGA1200,ATX,4,128
608dd537905ec60bdc069286,/images/motherboard/58bcd7502bb4695bb93e01f686bec082.256p.jpg,Asus,PRIME B460M-A,414.09,7,B460,LGA1200,Micro ATX,4,128
608dd537905ec60bdc069287,/images/motherboard/23d8f4dd3b953b1dcc86841972621020.256p.jpg,Asus,PRIME B460M-K,364.59,7,B460,LGA1200,Micro ATX,2,64
608dd537905ec60bdc069288,/images/motherboard/9d4667a9947754e1451e3832ee031490.256p.jpg,MSI,MEG Z590I UNIFY,1431.9,3,Z590,LGA1200,Mini ITX,2,64
608dd537905ec60bdc069289,/images/motherboard/53343f58edf63b5c340094218c05463b.256p.jpg,Asus,Pro B460M-C/CSM,542.66,7,B460,LGA1200,Micro ATX,4,128
608dd537905ec60bdc069290,/images/motherboard/a86077f71dc7d6ae8a5447e8941cafdf.256p.jpg,Asus,ROG STRIX B460-G GAMING,639.09,7,B460,LGA1200,Micro ATX,4,128
608dd537905ec60bdc069291,/images/motherboard/a22733cc8b0dca99ebe441e3579c8c59.256p.jpg,MSI,MEG Z490 ACE,1534.46,1,Z490,LGA1200,ATX,4,128
608dd537905ec60bdc069292,/images/motherboard/53c70fcbb989c7288620bd1220284d18.256p.jpg,MSI,MEG Z490 UNIFY,1387.76,1,Z490,LGA1200,ATX,4,128
608dd537905ec60bdc069293,/images/motherboard/c867cb0289ba91a78151393c3d4cd7da.256p.jpg,Asus,TUF GAMING B460M-PLUS,499.64,7,B460,LGA1200,Micro ATX,4,128
608dd537905ec60bdc069294,/images/motherboard/c053d6da37d85215460196e9d5b47129.256p.jpg,Asus,TUF GAMING B460M-PLUS (WI-FI),534.96,7,B460,LGA1200,Micro ATX,4,128
608dd537905ec60bdc069295,/images/motherboard/11d96e04d37c62b6ebbad5a426d447ef.256p.jpg,Asus,TUF GAMING B560M-PLUS WIFI,701.55,6,B560,LGA1200,Micro ATX,4,128
608dd537905ec60bdc069296,/images/motherboard/7d9891563c14929a7ff8ae0cc98b59f7.256p.jpg,Gigabyte,B460M AORUS PRO,486.09,7,B460,LGA1200,Micro ATX,4,128
608dd537905ec60bdc069297,/images/motherboard/f61bff2ab1f35d014c47ada649a0a8ec.256p.jpg,Gigabyte,B460M D2V,488.21,7,B460,LGA1200,Micro ATX,2,64
608dd537905ec60bdc069298,/images/motherboard/601a7bd7e7c03a1b0c4008a623d02cd6.256p.jpg,Gigabyte,B460M D3H,423.09,7,B460,LGA1200,Micro ATX,4,128
